,Last Name,First Name,Email,Grade
0,Patterson,Nicole,nicole.patterson@bayer.edu,13
1,Graham,Benjamin,benjamin.graham@bayer.edu,6
2,Flores,Russell,russell.flores@bayer.edu,9
3,Moore,Kimberly,kimberly.moore@bayer.edu,8
4,Adams,Amy,amy.adams@bayer.edu,8
5,Vasquez,Sara,sara.vasquez@bayer.edu,6
6,Petersen,Kristin,kristin.petersen@bayer.edu,5
7,Bennett,Richard,richard.bennett@bayer.edu,8
8,Saunders,Richard,richard.saunders@bayer.edu,12
9,Perez,Jeffrey,jeffrey.perez@bayer.edu,12
10,Warren,Tamara,tamara.warren@bayer.edu,7
11,Douglas,Robert,robert.douglas@bayer.edu,10
12,White,Amy,amy.white@bayer.edu,11
13,Jones,Michele,michele.jones@bayer.edu,6
14,Smith,Samantha,samantha.smith@bayer.edu,5
15,Smith,Crystal,crystal.smith@bayer.edu,14
16,Marshall,Shawn,shawn.marshall@bayer.edu,11
17,Joyce,Traci,traci.joyce@bayer.edu,9
18,Delgado,Desiree,desiree.delgado@bayer.edu,8
19,Foster,Tommy,tommy.foster@bayer.edu,10
20,Cooper,Adam,adam.cooper@bayer.edu,7
21,Bryan,Bradley,bradley.bryan@bayer.edu,10
22,Weber,Samuel,samuel.weber@bayer.edu,5
23,Harris,John,john.harris@bayer.edu,6
24,Daniel,William,william.daniel@bayer.edu,9
25,Glover,Heidi,heidi.glover@bayer.edu,7
26,Garcia,Desiree,desiree.garcia@bayer.edu,10
27,Powers,Brooke,brooke.powers@bayer.edu,10
28,Rogers,Sherry,sherry.rogers@bayer.edu,9
29,Bauer,John,john.bauer@bayer.edu,9
30,Washington,Travis,travis.washington@bayer.edu,9
31,Thomas,Brandon,brandon.thomas@bayer.edu,8
32,Jones,Sarah,sarah.jones@bayer.edu,14
33,Lambert,Malaika,malaika.lambert@bayer.edu,13
34,Holt,Crystal,crystal.holt@bayer.edu,14
35,Johnson,Tara,tara.johnson@bayer.edu,14
36,Underwood,James,james.underwood@bayer.edu,9
37,Rush,Oscar,oscar.rush@bayer.edu,5
38,Benton,Michael,michael.benton@bayer.edu,10
39,Williams,Kimberly,kimberly.williams@bayer.edu,11
40,Dunn,Amy,amy.dunn@bayer.edu,13
41,Watson,Holly,holly.watson@bayer.edu,6
42,Watkins,Carol,carol.watkins@bayer.edu,5
43,Price,Ricardo,ricardo.price@bayer.edu,14
44,Warren,Angela,angela.warren@bayer.edu,5
45,Houston,Emily,emily.houston@bayer.edu,5
46,Simpson,Felicia,felicia.simpson@bayer.edu,9
47,Sanders,Beth,beth.sanders@bayer.edu,10
48,Gordon,Lori,lori.gordon@bayer.edu,7
49,Baldwin,Lucas,lucas.baldwin@bayer.edu,12
50,Good,Sherry,sherry.good@bayer.edu,7
51,Sparks,Leslie,leslie.sparks@bayer.edu,8
52,Lee,Michelle,michelle.lee@bayer.edu,10
53,Poole,Melissa,melissa.poole@bayer.edu,12
54,Boyd,Victoria,victoria.boyd@bayer.edu,6
55,Campbell,Charles,charles.campbell@bayer.edu,14
56,Dennis,Cameron,cameron.dennis@bayer.edu,5
57,Nguyen,Cindy,cindy.nguyen@bayer.edu,10
58,Duffy,Erin,erin.duffy@bayer.edu,5
59,Raymond,Troy,troy.raymond@bayer.edu,7
60,Anderson,Daisy,daisy.anderson@bayer.edu,6
61,Sampson,Stephanie,stephanie.sampson@bayer.edu,12
62,Rodriguez,John,john.rodriguez@bayer.edu,11
63,Leon,Tammy,tammy.leon@bayer.edu,6
64,Rodriguez,Alexander,alexander.rodriguez@bayer.edu,11
65,King,Paige,paige.king@bayer.edu,14
66,Dudley,Emily,emily.dudley@bayer.edu,9
67,Johnston,Robert,robert.johnston@bayer.edu,10
68,Carter,Lorraine,lorraine.carter@bayer.edu,12
69,Jones,Daniel,daniel.jones@bayer.edu,7
70,Johnson,Dylan,dylan.johnson@bayer.edu,5
71,Hernandez,Taylor,taylor.hernandez@bayer.edu,5
72,Rice,Rhonda,rhonda.rice@bayer.edu,6
73,Scott,Michelle,michelle.scott@bayer.edu,14
74,Johnson,Stacy,stacy.johnson@bayer.edu,7
75,Hunt,Brett,brett.hunt@bayer.edu,7
76,Beck,David,david.beck@bayer.edu,12
77,Walls,Joyce,joyce.walls@bayer.edu,7
78,Elliott,Richard,richard.elliott@bayer.edu,11
79,Ramirez,Timothy,timothy.ramirez@bayer.edu,6
80,Wolf,Courtney,courtney.wolf@bayer.edu,7
81,Schwartz,Billy,billy.schwartz@bayer.edu,10
82,Ortega,Tiffany,tiffany.ortega@bayer.edu,14
83,Brock,Lauren,lauren.brock@bayer.edu,12
84,Hart,Colleen,colleen.hart@bayer.edu,9
85,Friedman,Linda,linda.friedman@bayer.edu,5
86,Gonzalez,Matthew,matthew.gonzalez@bayer.edu,11
87,Dennis,Rachel,rachel.dennis@bayer.edu,6
88,Allen,Christina,christina.allen@bayer.edu,14
89,Flores,Brandon,brandon.flores@bayer.edu,13
90,Foster,Ashlee,ashlee.foster@bayer.edu,14
91,Reyes,Bailey,bailey.reyes@bayer.edu,6
92,Cervantes,Scott,scott.cervantes@bayer.edu,12
93,Reyes,Carol,carol.reyes@bayer.edu,14
94,Lester,Aaron,aaron.lester@bayer.edu,8
95,James,Margaret,margaret.james@bayer.edu,7
96,Pena,Jonathan,jonathan.pena@bayer.edu,10
97,Young,Joseph,joseph.young@bayer.edu,11
98,Nguyen,Donna,donna.nguyen@bayer.edu,9
99,Guzman,Cynthia,cynthia.guzman@bayer.edu,10
