,ID,Name,NetID,Email Address,Section
0,9248728,"Young, Joseph Teresa",JTY40106,JOSEPH.YOUNG@BAYER.EDU,1
1,8605280,"Woodard, John",JXW87000,JOHN.WOODARD@BAYER.EDU,2
2,4762255,"Wolf, Courtney",CXW91147,COURTNEY.WOLF@BAYER.EDU,2
3,4133244,"Williams, Kimberly",KXW26270,KIMBERLY.WILLIAMS@BAYER.EDU,2
4,7543126,"Wilkerson, Levi Kayla",LKW48972,LEVI.WILKERSON@BAYER.EDU,3
5,6972487,"White, Amy Leslie",ALW07647,AMY.WHITE@BAYER.EDU,3
6,9107140,"Weber, Samuel",SXW76890,SAMUEL.WEBER@BAYER.EDU,1
7,8037797,"Webb, Heather",HXW92728,HEATHER.WEBB@BAYER.EDU,3
8,5622557,"Watson, Holly Samuel",HSW06874,HOLLY.WATSON@BAYER.EDU,2
9,5893837,"Watkins, Carol",CXW68726,CAROL.WATKINS@BAYER.EDU,2
10,2213589,"Washington, Travis",TXW75701,TRAVIS.WASHINGTON@BAYER.EDU,1
11,5505240,"Warren, Tamara Shawn",TSW14969,TAMARA.WARREN@BAYER.EDU,1
12,8966419,"Warren, Angela",AXW80146,ANGELA.WARREN@BAYER.EDU,1
13,7187270,"Walsh, Jill",JXW98212,JILL.WALSH@BAYER.EDU,1
14,5566719,"Walls, Joyce",JXW53347,JOYCE.WALLS@BAYER.EDU,1
15,4912187,"Vasquez, Sara",SXV18182,SARA.VASQUEZ@BAYER.EDU,1
16,4463768,"Underwood, James",JXU45537,JAMES.UNDERWOOD@BAYER.EDU,1
17,8190682,"Thomas, Sandra",SXT33634,SANDRA.THOMAS@BAYER.EDU,1
18,9496845,"Thomas, Brandon",BXT62105,BRANDON.THOMAS@BAYER.EDU,3
19,5665427,"Terry, Thomas",TXT65366,THOMAS.TERRY@BAYER.EDU,1
20,7331066,"Terry, Amy Justin",AJT73762,AMY.TERRY@BAYER.EDU,3
21,1348888,"Taylor, Michael Ashley",MAT59156,MICHAEL.TAYLOR@BAYER.EDU,2
22,6936009,"Stevens, Marcia",MXS29840,MARCIA.STEVENS@BAYER.EDU,2
23,3769525,"Sparks, Leslie",LXS77616,LESLIE.SPARKS@BAYER.EDU,2
24,4477527,"Smith, Samantha",SXS90647,SAMANTHA.SMITH@BAYER.EDU,2
25,7782005,"Smith, Matthew",MXS33416,MATTHEW.SMITH@BAYER.EDU,1
26,9227999,"Smith, Kerry",KXS29884,KERRY.SMITH@BAYER.EDU,1
27,3830106,"Smith, Crystal Jason",CJS43553,CRYSTAL.SMITH@BAYER.EDU,3
28,6847480,"Smith, Andrea Erica",AES07091,ANDREA.SMITH@BAYER.EDU,2
29,1905666,"Simpson, Felicia",FXS77894,FELICIA.SIMPSON@BAYER.EDU,3
30,8014272,"Scott, Michelle",MXS33225,MICHELLE.SCOTT@BAYER.EDU,2
31,7046482,"Schwartz, Billy",BXS54690,BILLY.SCHWARTZ@BAYER.EDU,1
32,2546149,"Saunders, Richard",RXS30280,RICHARD.SAUNDERS@BAYER.EDU,1
33,7369942,"Sanders, Beth Melissa",BMS82804,BETH.SANDERS@BAYER.EDU,1
34,3215879,"Sampson, Stephanie",SXS30610,STEPHANIE.SAMPSON@BAYER.EDU,3
35,3137156,"Rush, Oscar",OXR30270,OSCAR.RUSH@BAYER.EDU,2
36,1454597,"Rogers, Sherry Benjamin",SBR74322,SHERRY.ROGERS@BAYER.EDU,2
37,9326195,"Rodriguez, John Sandra",JSR21334,JOHN.RODRIGUEZ@BAYER.EDU,3
38,1791350,"Rodriguez, Alexander Katelyn",AKR14831,ALEXANDER.RODRIGUEZ@BAYER.EDU,2
39,6984374,"Roberts, Steven Katherine",SKR62062,STEVEN.ROBERTS@BAYER.EDU,2
40,1283046,"Rice, Rhonda Kyle",RKR43763,RHONDA.RICE@BAYER.EDU,1
41,1061475,"Rhodes, Kimberly Peter",KPR82051,KIMBERLY.RHODES@BAYER.EDU,3
42,3330029,"Reyes, Jason",JXR10806,JASON.REYES@BAYER.EDU,3
43,3049287,"Reyes, Carol",CXR98775,CAROL.REYES@BAYER.EDU,3
44,6345758,"Reyes, Bailey",BXR62103,BAILEY.REYES@BAYER.EDU,2
45,2916149,"Reilly, Brandy Kevin",BKR19538,BRANDY.REILLY@BAYER.EDU,2
46,1397380,"Reid, Laura Clarence",LCR30757,LAURA.REID@BAYER.EDU,3
47,6506766,"Raymond, Troy Bryan",TBR17292,TROY.RAYMOND@BAYER.EDU,3
48,3711195,"Ramirez, Timothy",TXR84689,TIMOTHY.RAMIREZ@BAYER.EDU,3
49,6097881,"Price, Ricardo",RXP56459,RICARDO.PRICE@BAYER.EDU,3
50,4412160,"Powers, Brooke David",BDP78944,BROOKE.POWERS@BAYER.EDU,1
51,3042477,"Poole, Melissa",MXP86000,MELISSA.POOLE@BAYER.EDU,3
52,2570154,"Petersen, Kristin Sarah",KSP17362,KRISTIN.PETERSEN@BAYER.EDU,1
53,9975979,"Perez, Jeffrey",JXP06435,JEFFREY.PEREZ@BAYER.EDU,3
54,1994210,"Pena, Jonathan Michael",JMP63760,JONATHAN.PENA@BAYER.EDU,1
