,Last Name,First Name,Email,Grade
0,Young,Joseph,joseph.young@bayer.edu,8
1,Woodard,John,john.woodard@bayer.edu,11
2,Wolf,Courtney,courtney.wolf@bayer.edu,10
3,Williams,Kimberly,kimberly.williams@bayer.edu,6
4,Wilkerson,Levi,levi.wilkerson@bayer.edu,11
5,White,Amy,amy.white@bayer.edu,7
6,Weber,Samuel,samuel.weber@bayer.edu,6
7,Webb,Heather,heather.webb@bayer.edu,5
8,Watson,Holly,holly.watson@bayer.edu,11
9,Watkins,Carol,carol.watkins@bayer.edu,6
10,Washington,Travis,travis.washington@bayer.edu,11
11,Warren,Angela,angela.warren@bayer.edu,8
12,Warren,Tamara,tamara.warren@bayer.edu,10
13,Walsh,Jill,jill.walsh@bayer.edu,6
14,Walls,Joyce,joyce.walls@bayer.edu,10
15,Vasquez,Sara,sara.vasquez@bayer.edu,5
16,Underwood,James,james.underwood@bayer.edu,5
17,Thomas,Sandra,sandra.thomas@bayer.edu,9
18,Thomas,Brandon,brandon.thomas@bayer.edu,7
19,Terry,Thomas,thomas.terry@bayer.edu,8
20,Terry,Amy,amy.terry@bayer.edu,4
21,Taylor,Michael,michael.taylor@bayer.edu,5
22,Stevens,Marcia,marcia.stevens@bayer.edu,7
23,Sparks,Leslie,leslie.sparks@bayer.edu,7
24,Smith,Kerry,kerry.smith@bayer.edu,4
25,Smith,Matthew,matthew.smith@bayer.edu,8
26,Smith,Samantha,samantha.smith@bayer.edu,6
27,Smith,Crystal,crystal.smith@bayer.edu,6
28,Smith,Andrea,andrea.smith@bayer.edu,5
29,Simpson,Felicia,felicia.simpson@bayer.edu,11
30,Scott,Michelle,michelle.scott@bayer.edu,7
31,Schwartz,Billy,billy.schwartz@bayer.edu,11
32,Saunders,Richard,richard.saunders@bayer.edu,10
33,Sanders,Beth,beth.sanders@bayer.edu,4
34,Sampson,Stephanie,stephanie.sampson@bayer.edu,10
35,Rush,Oscar,oscar.rush@bayer.edu,5
36,Rogers,Sherry,sherry.rogers@bayer.edu,4
37,Rodriguez,Alexander,alexander.rodriguez@bayer.edu,11
38,Rodriguez,John,john.rodriguez@bayer.edu,6
39,Roberts,Steven,steven.roberts@bayer.edu,8
40,Rice,Rhonda,rhonda.rice@bayer.edu,8
41,Rhodes,Kimberly,kimberly.rhodes@bayer.edu,9
42,Reyes,Carol,carol.reyes@bayer.edu,5
43,Reyes,Jason,jason.reyes@bayer.edu,9
44,Reyes,Bailey,bailey.reyes@bayer.edu,10
45,Reilly,Brandy,brandy.reilly@bayer.edu,5
46,Reid,Laura,laura.reid@bayer.edu,4
47,Raymond,Troy,troy.raymond@bayer.edu,7
48,Ramirez,Timothy,timothy.ramirez@bayer.edu,4
49,Price,Ricardo,ricardo.price@bayer.edu,10
50,Powers,Brooke,brooke.powers@bayer.edu,6
51,Poole,Melissa,melissa.poole@bayer.edu,9
52,Petersen,Kristin,kristin.petersen@bayer.edu,8
53,Perez,Jeffrey,jeffrey.perez@bayer.edu,4
54,Pena,Jonathan,jonathan.pena@bayer.edu,9
55,Payne,Douglas,douglas.payne@bayer.edu,8
56,Patterson,Nicole,nicole.patterson@bayer.edu,6
57,Patrick,Mark,mark.patrick@bayer.edu,10
58,Parker,Timothy,timothy.parker@bayer.edu,9
59,Ortega,Tiffany,tiffany.ortega@bayer.edu,7
60,Odom,John,john.odom@bayer.edu,11
61,Nguyen,Cindy,cindy.nguyen@bayer.edu,7
62,Nguyen,Donna,donna.nguyen@bayer.edu,7
63,Myers,Brian,brian.myers@bayer.edu,9
64,Moore,Kimberly,kimberly.moore@bayer.edu,6
65,Miranda,Brett,brett.miranda@bayer.edu,11
66,Miller,Anthony,anthony.miller@bayer.edu,9
67,Miller,Stephen,stephen.miller@bayer.edu,8
68,Miller,Jorge,jorge.miller@bayer.edu,10
69,Mccall,Kimberly,kimberly.mccall@bayer.edu,11
70,Martin,Ashley,ashley.martin@bayer.edu,5
71,Marshall,Shawn,shawn.marshall@bayer.edu,8
72,Mann,Nicole,nicole.mann@bayer.edu,11
73,Lopez,Mark,mark.lopez@bayer.edu,4
74,Lester,Aaron,aaron.lester@bayer.edu,6
75,Leon,Tammy,tammy.leon@bayer.edu,4
76,Lee,Danielle,danielle.lee@bayer.edu,7
77,Lee,Michelle,michelle.lee@bayer.edu,9
78,Lambert,Malaika,malaika.lambert@bayer.edu,8
79,King,Paige,paige.king@bayer.edu,8
80,Joyce,Traci,traci.joyce@bayer.edu,8
81,Jones,Sarah,sarah.jones@bayer.edu,9
82,Jones,Daniel,daniel.jones@bayer.edu,8
83,Jones,Michele,michele.jones@bayer.edu,7
84,Johnston,Robert,robert.johnston@bayer.edu,9
85,Johnson,Dylan,dylan.johnson@bayer.edu,6
86,Johnson,Stacy,stacy.johnson@bayer.edu,6
87,Johnson,Tara,tara.johnson@bayer.edu,6
88,Johnson,Paul,paul.johnson@bayer.edu,10
89,Johnson,Jamie,jamie.johnson@bayer.edu,5
90,James,Margaret,margaret.james@bayer.edu,8
91,Hunt,Brett,brett.hunt@bayer.edu,4
92,Houston,Emily,emily.houston@bayer.edu,8
93,Holt,Crystal,crystal.holt@bayer.edu,9
94,Hernandez,Taylor,taylor.hernandez@bayer.edu,11
95,Hart,Colleen,colleen.hart@bayer.edu,6
96,Harris,John,john.harris@bayer.edu,9
97,Guzman,Cynthia,cynthia.guzman@bayer.edu,6
98,Greer,April,april.greer@bayer.edu,8
99,Graham,Benjamin,benjamin.graham@bayer.edu,7
100,Gordon,Lori,lori.gordon@bayer.edu,9
101,Good,Sherry,sherry.good@bayer.edu,6
102,Gonzalez,Matthew,matthew.gonzalez@bayer.edu,7
103,Glover,Heidi,heidi.glover@bayer.edu,4
104,Garza,Jessica,jessica.garza@bayer.edu,8
105,Garcia,Desiree,desiree.garcia@bayer.edu,8
106,Friedman,Linda,linda.friedman@bayer.edu,10
107,Foster,Tommy,tommy.foster@bayer.edu,9
108,Foster,Ashlee,ashlee.foster@bayer.edu,5
109,Flower,John,john.g.2.flower@bayer.edu,8
110,Flores,Russell,russell.flores@bayer.edu,7
111,Flores,Brandon,brandon.flores@bayer.edu,7
112,Faulkner,Katelyn,katelyn.faulkner@bayer.edu,6
113,Evans,Patricia,patricia.evans@bayer.edu,9
114,Elliott,Richard,richard.elliott@bayer.edu,6
115,Edwards,Nicole,nicole.edwards@bayer.edu,10
116,Edwards,Timothy,timothy.edwards@bayer.edu,6
117,Dunn,Amy,amy.dunn@bayer.edu,10
118,Dunlap,Angela,angela.dunlap@bayer.edu,6
119,Duffy,Erin,erin.duffy@bayer.edu,9
120,Dudley,Emily,emily.dudley@bayer.edu,5
121,Douglas,Robert,robert.douglas@bayer.edu,8
122,Dennis,Rachel,rachel.dennis@bayer.edu,7
123,Dennis,Cameron,cameron.dennis@bayer.edu,4
124,Delgado,Desiree,desiree.delgado@bayer.edu,4
125,Davidson,Luke,luke.davidson@bayer.edu,7
126,Daniels,Amber,amber.daniels@bayer.edu,7
127,Daniel,William,william.daniel@bayer.edu,9
128,Curry,Alec,alec.curry@bayer.edu,9
129,Cooper,Adam,adam.cooper@bayer.edu,4
130,Clark,Jill,jill.clark@bayer.edu,9
131,Cervantes,Scott,scott.cervantes@bayer.edu,4
132,Carter,Lorraine,lorraine.carter@bayer.edu,5
133,Campbell,Charles,charles.campbell@bayer.edu,5
134,Bryan,Bradley,bradley.bryan@bayer.edu,10
135,Brown,Kelsey,kelsey.brown@bayer.edu,10
136,Brock,Lauren,lauren.brock@bayer.edu,7
137,Boyd,Victoria,victoria.boyd@bayer.edu,9
138,Benton,Michael,michael.benton@bayer.edu,7
139,Bennett,Richard,richard.bennett@bayer.edu,10
140,Beck,David,david.beck@bayer.edu,4
141,Bauer,John,john.bauer@bayer.edu,4
142,Bates,Nathan,nathan.bates@bayer.edu,6
143,Barrera,Woody,woody.barrera_jr@bayer.edu,4
144,Baldwin,Lucas,lucas.baldwin@bayer.edu,7
145,Bailey,Belinda,belinda.bailey@bayer.edu,6
146,Anderson,Lauren,lauren.anderson@bayer.edu,8
147,Anderson,Daisy,daisy.anderson@bayer.edu,9
148,Allen,Christina,christina.allen@bayer.edu,10
149,Adams,Amy,amy.adams@bayer.edu,9
